,Rows,"Угол нашивки, град",Плотность нашивки,"Угол нашивки, град-Плотность нашивки"
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Прочность при растяжении, МПа",,-0.053883768404918264,-0.0320281238465121,-0.04295594612571585
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.08036107889614574,-0.014717126490713106,-0.047539102693430535
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.053775254837331365,-0.0482833971520229,-0.051029325994678354
"Количество отвердителя, м.%-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.07385026484092605,-0.057266776831727206,-0.06555852083632718
"Количество отвердителя, м.%-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.09869987181834827,-0.06969705939093984,-0.08419846560464461
"Количество отвердителя, м.%-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.07406729197609985,-0.07903376088701397,-0.07655052643155758
"Количество отвердителя, м.%-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.1015212245756103,-0.09862748402988575,-0.10007435430274847
"Количество отвердителя, м.%-Температура вспышки, С_2-Шаг нашивки",,-0.0350024076447808,-0.06532125465735339,-0.05016183115106798
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.06766499148846705,-0.07250554291388678,-0.07008526720117791
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.023282942345385083,-0.08939252883247151,-0.05633773558892918
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.01351672126255532,-0.04264148682229685,-0.02807910404242686
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Шаг нашивки",,-0.020678616723297294,-0.0899310300235745,-0.055304823373437006
"Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа",,0.02261829674391469,-0.07037369911930846,-0.023877701187697775
"Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Потребление смолы, г/м2",,-0.12398353306611853,-0.05513498739671441,-0.08955926023141747
"Количество отвердителя, м.%-Модуль упругости при растяжении, ГПа-Шаг нашивки",,-0.04292389807863173,-0.08251438301174763,-0.06271914054519034
"Количество отвердителя, м.%-Прочность при растяжении, МПа-Потребление смолы, г/м2",,-0.1016297381431972,-0.04741347895092085,-0.0745216085470598
"Количество отвердителя, м.%-Прочность при растяжении, МПа-Шаг нашивки",,0.007534910849322118,-0.06017424450705655,-0.026319666828867994
"Количество отвердителя, м.%-Потребление смолы, г/м2-Шаг нашивки",,-0.05594552618907134,-0.050451530947347445,-0.05319852856821006
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.14058610890692935,-0.04953639580992686,-0.0950612523584291
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Модуль упругости при растяжении, ГПа",,-0.13418380841929656,-0.08727298110421033,-0.11072839476175389
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Прочность при растяжении, МПа",,-0.11258960846948396,-0.09074812431114987,-0.10166886639031791
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.10195527884595834,-0.0753452630981637,-0.08865027097206168
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Шаг нашивки",,-0.10531919944115509,-0.12082327285791705,-0.11307123614953718
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Модуль упругости при растяжении, ГПа",,-0.09522743765556418,-0.05846232517961125,-0.0768448814175886
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Прочность при растяжении, МПа",,-0.06364998948774803,-0.09688604831629921,-0.08026801890202473
