,Rows,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Модуль упругости при растяжении, ГПа-Прочность при растяжении, МПа"
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2",,-0.02124854073346283,-0.011861117449308178,-0.01655482909138517
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Потребление смолы, г/м2",,-0.011441101799785969,-0.008657573687222309,-0.010049337743504028
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Шаг нашивки",,-0.014679871935418642,-0.015020124185954886,-0.014849998060687208
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Угол нашивки, град",,-0.015135224456633845,-0.010047487458049398,-0.012591355957341621
"Количество отвердителя, м.%-Содержание эпоксидных групп,%_2-Плотность нашивки",,-0.016318611677325734,-0.010423795896197685,-0.013371203786761487
"Количество отвердителя, м.%-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.041046269925284484,-0.014695572910565335,-0.0278709214179248
"Количество отвердителя, м.%-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.03345382015993503,-0.011690326292992603,-0.02257207322646404
"Количество отвердителя, м.%-Температура вспышки, С_2-Шаг нашивки",,-0.035850121306730154,-0.018651114244244926,-0.027250617775487762
"Количество отвердителя, м.%-Температура вспышки, С_2-Угол нашивки, град",,-0.0366103149573882,-0.013382725476343449,-0.024996520216865714
"Количество отвердителя, м.%-Температура вспышки, С_2-Плотность нашивки",,-0.03783430181701619,-0.013672886909929183,-0.025753594363472687
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,-0.018330935112447877,-0.009769294566542408,-0.014050114839495365
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Шаг нашивки",,-0.021390027639363707,-0.01574767492609097,-0.018568851282727672
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.022204339747901924,-0.011271318502357408,-0.016737829125129333
"Количество отвердителя, м.%-Поверхностная плотность, г/м2-Плотность нашивки",,-0.023237123034957285,-0.011322814839733963,-0.017279968937345958
"Количество отвердителя, м.%-Потребление смолы, г/м2-Шаг нашивки",,-0.012166645993714642,-0.01266915393365986,-0.012417899963687362
"Количество отвердителя, м.%-Потребление смолы, г/м2-Угол нашивки, град",,-0.012499050730622407,-0.008122066693587948,-0.010310558712104845
"Количество отвердителя, м.%-Потребление смолы, г/м2-Плотность нашивки",,-0.013902385866573885,-0.008450342070606132,-0.011176363968589564
"Количество отвердителя, м.%-Шаг нашивки-Угол нашивки, град",,-0.016001519155486754,-0.01389314488461002,-0.014947332020048387
"Количество отвердителя, м.%-Шаг нашивки-Плотность нашивки",,-0.017349833640694312,-0.014370871190308776,-0.015860352415501988
"Количество отвердителя, м.%-Угол нашивки, град-Плотность нашивки",,-0.017770936841692953,-0.009869609908783161,-0.013820273375238168
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Поверхностная плотность, г/м2",,-0.012166292459757422,-0.027252738613063876,-0.019709515536410427
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Потребление смолы, г/м2",,-0.006158192826265729,-0.02413749079554761,-0.01514784181090667
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Шаг нашивки",,-0.008795438936481492,-0.030924743797267507,-0.019860091366874277
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Угол нашивки, град",,-0.009445656664420321,-0.026116117378377934,-0.01778088702139935
"Содержание эпоксидных групп,%_2-Температура вспышки, С_2-Плотность нашивки",,-0.01031635510490525,-0.026352348688535532,-0.01833435189672028
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Потребление смолы, г/м2",,0.0031376791461188436,-0.023465872203191074,-0.010164096528536337
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Шаг нашивки",,-3.809032596269191e-05,-0.029340268890203136,-0.014689179608083247
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Угол нашивки, град",,-0.0007365510041001944,-0.02517258371533715,-0.012954567359718672
"Содержание эпоксидных групп,%_2-Поверхностная плотность, г/м2-Плотность нашивки",,-0.0013433570835017505,-0.025187538348536043,-0.013265447716018675
"Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Шаг нашивки",,0.007457900208235779,-0.02614764690600424,-0.009344873348883953
"Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Угол нашивки, град",,0.007144318690993523,-0.021951196766834213,-0.007403439037920456
"Содержание эпоксидных групп,%_2-Потребление смолы, г/м2-Плотность нашивки",,0.006153456905245602,-0.022185231643709002,-0.008015887369231978
"Содержание эпоксидных групп,%_2-Шаг нашивки-Угол нашивки, град",,0.0035768765069505992,-0.027594118299276937,-0.012008620896163447
